name,id1,birth_date,birth_city,birth_state,birth_country,bats,throws,height_in,weight_lbs,hall_of_fame,seasons_played,career_ops,career_g,career_ab,career_h,career_hr,career_rbi,career_bb,career_war,tie_lahman_id,tie_name,relation
Bob Boone,boonb001,1947-11-19,San Diego,CA,USA,R,R,74,195,,19,0.661,2264,7245,1838,105,826,663,27.41,boonr101,,Son
Bob Gallagher,gallb101,1947-07-07,Newton,MA,USA,L,L,75,185,,4,0.541,213,255,56,2,13,16,-1.21,colls101,,Grandson
Bob Johnson,johnb101,1936-03-04,Omaha,NE,USA,R,R,70,175,,3,1.131,175,344,90,3,25,19,1.11,banke101,Ernie Banks,Nephew
Bob Molinaro,molib001,1950-05-21,Newark,NJ,USA,L,R,72,190,,8,0.781,401,803,212,14,90,65,0.38,molij001,Jose Molina,Brother
Bob Molinaro,molib001,1950-05-21,Newark,NJ,USA,L,R,72,190,,8,0.781,401,803,212,14,90,65,0.38,moliy001,Yadier Molina,Brother
Bob Oliver,olivb101,1943-02-08,Shreveport,LA,USA,R,R,75,205,,7,0.883,844,2912,745,94,419,156,5.85,olivd001,Dave Oliver,Father
Bob Spence,spenb101,1946-02-10,San Diego,CA,USA,L,R,76,215,,3,0.571,72,183,37,4,19,16,-0.92,spenj101,Jim Spencer,Grandfather
Bob Taylor,taylb106,1944-03-20,Leland,MS,USA,L,R,69,170,,1,0.582,63,84,16,2,10,12,-0.53,taylh102,Hawk Taylor,Uncle
Bobby Bonds,bondb001,1946-03-15,Riverside,CA,USA,R,R,73,190,,14,0.885,1849,7043,1886,332,1024,914,62.24,bondb101,Barry Bonds,Son
Bobby Estalella,estab001,1974-08-23,Hialeah,FL,USA,R,R,73,200,,9,0.811,310,904,195,48,147,130,2.82,estab101,,Grandson
Bobby Hill,hillb102,1978-04-03,San Jose,CA,USA,B,R,70,175,,4,0.704,249,523,137,6,58,48,0.26,hillh104,Herman Hill,Brother
Bobby Thompson,thomb101,1953-11-03,Charlotte,NC,USA,B,R,71,175,,1,0.634,64,120,27,2,12,9,0.45,thomr101,Robby Thompson,Brother
Bobby Trevino,trevb101,1945-08-15,Monterrey,Nuevo León,México,R,R,74,185,,1,0.512,17,40,9,0,1,2,0.14,treva001,Alex Trevino,Brother
Bobby Wine,wineb101,1938-09-17,New York,NY,USA,R,R,73,187,,5,0.535,460,1300,274,9,99,98,-3.05,winer001,Robbie Wine,Father
Bobby Witt Jr.,wittb001,2000-06-14,Colleyville,TX,USA,R,R,73,200,,4,0.844,626,2491,722,105,373,176,21.96,wittb002,,Father
Bobby Witt Jr.,wittb001,2000-06-14,Colleyville,TX,USA,R,R,73,200,,4,0.844,626,2491,722,105,373,176,21.96,nealz001,,Father-in-Law
Bobby Witt Jr.,wittb001,2000-06-14,Colleyville,TX,USA,R,R,73,200,,4,0.844,626,2491,722,105,373,176,21.96,russj003,,Father-in-Law
Bobby Witt Jr.,wittb001,2000-06-14,Colleyville,TX,USA,R,R,73,200,,4,0.844,626,2491,722,105,373,176,21.96,thomc003,Charles Thomas,Father-in-Law
Boog Powell,poweb101,1941-08-17,Lakeland,FL,USA,L,R,76,230,,10,0.83,1231,3975,1070,196,716,645,26.53,taylc102,Carl Taylor,Step Brother
Brad Snyder,snydb001,1982-05-25,Sandusky,OH,USA,L,L,75,220,,3,0.513,30,66,11,2,8,5,-0.1,younm005,Mike Young,Cousin
Brad Snyder,snydb001,1982-05-25,Sandusky,OH,USA,L,L,75,220,,3,0.513,30,66,11,2,8,5,-0.1,snydb003,Brandon Snyder,Father
Brad Wilkerson,wilkb001,1977-06-01,Owensboro,KY,USA,L,L,72,200,,8,0.843,972,3187,788,122,399,492,10.51,bluej101,,Great Grandfather
Bradley Zimmer,zimmb001,1992-11-27,La Jolla,CA,USA,L,R,76,185,,6,0.726,372,859,183,21,91,76,3.17,zimmk001,,Brother
Brandon Berger,bergb102,1975-02-21,Covington,KY,USA,R,R,71,205,,4,0.646,81,217,46,8,24,15,-1.27,bergm102,,Brother
Brandon Crawford,crawb001,1987-01-21,Mountain View,CA,USA,L,R,73,223,,14,0.713,1684,5646,1404,147,748,544,29.44,coleg001,,Brother-in-Law
Brandon Fahey,faheb101,1981-01-18,Dallas,TX,USA,L,R,74,160,,3,0.586,189,411,92,2,36,28,-0.76,faheb001,Bill Fahey,Father
Brandon Laird,lairb001,1987-09-11,Cypress,CA,USA,R,R,73,215,,3,0.626,53,127,25,6,16,8,-0.19,lairg001,Gerald Laird,Brother
Brandon Phillips,philb101,1981-06-28,Raleigh,NC,USA,R,R,72,211,,17,0.791,1902,7378,2029,211,951,420,29.77,wolfb102,,Half Brother
Brandon Snyder,snydb003,1986-11-23,Las Vegas,NV,USA,R,R,74,215,,6,0.731,122,200,48,9,29,7,-0.02,younm005,Mike Young,Cousin
Brandon Snyder,snydb003,1986-11-23,Las Vegas,NV,USA,R,R,74,215,,6,0.731,122,200,48,9,29,7,-0.02,snydb001,Brad Snyder,Son
Brent Lillibridge,lillb102,1983-09-18,Everett,WA,USA,R,R,71,185,,6,0.822,358,708,145,19,71,49,-3.0,lillg101,,Brother
Brenton Doyle,doylb801,1998-05-14,Warrenton,VA,USA,R,R,74,200,,3,0.677,413,1443,339,48,177,98,4.88,doylb101,Brian Doyle,Brother
Brenton Doyle,doylb801,1998-05-14,Warrenton,VA,USA,R,R,74,200,,3,0.677,413,1443,339,48,177,98,4.88,doyld102,Denny Doyle,Brother
Bret Barberie,barbb102,1967-08-16,Long Beach,CA,USA,B,R,71,185,,6,0.719,479,1434,388,16,133,164,6.31,barbl101,,Brother
